time,Inc
151,7.405273321
152,7.421633694
153,7.451368459
154,7.494625577
155,7.551617948
156,7.622623944
157,7.707988256
158,7.80812302
159,7.923509201
160,8.054698177
161,8.202313503
162,8.367052789
163,8.549689639
164,8.751075592
165,8.972141972
166,9.213901561
167,9.477449985
168,9.763966698
169,10.07471539
170,10.41104371
171,10.77438203
172,11.16624114
173,11.58820862
174,12.04194357
175,12.52916956
176,13.05166542
177,13.61125369
178,14.20978639
179,14.84912787
180,15.53113453
181,16.25763123
182,17.03038423
183,17.85107065
184,18.72124449
185,19.64229931
186,20.61542807
187,21.64158022
188,22.72141706
189,23.85526574
190,25.04307307
191,26.28436005
192,27.57817837
193,28.92307006
194,30.31703164
195,31.7574842
196,33.24125045
197,34.76454026
198,36.32294552
199,37.91144533
200,39.52442225
201,41.15568994
202,42.79853245
203,44.44575505
204,46.08974604
205,47.72254907
206,49.33594479
207,50.92154059
208,52.47086698
209,53.97547875
210,55.42705913
211,56.81752468
212,58.13912896
213,59.38456258
214,60.54704761
215,61.62042418
216,62.59922743
217,63.47875302
218,64.25511
219,64.9252597
220,65.48704023
221,65.93917617
222,66.28127352
223,66.51380062
224,66.63805568
225,66.6561224
226,66.57081487
227,66.38561379
228,66.10459551
229,65.73235604
230,65.27393181
231,64.7347191
232,64.12039384
233,63.43683325
234,62.69004096
235,61.88607643
236,61.0309898
237,60.13076286
238,59.19125647
239,58.21816478
240,57.21697636
241,56.19294198
242,55.15104897
243,54.09600169
244,53.03220774
245,51.96376935
246,50.8944795
247,49.82782209
248,48.76697571
249,47.71482049
250,46.67394734
251,45.64666929
252,44.63503438
253,43.6408397
254,42.66564625
255,41.7107943
256,40.77741893
257,39.86646553
258,38.97870518
259,38.11474955
260,37.27506537
261,36.45998822
262,35.66973576
263,34.90442015
264,34.16405975
265,33.44859001
266,32.75787368
267,32.09171015
268,31.4498441
269,30.83197342
270,30.23775641
271,29.6668184
272,29.11875759
273,28.59315048
274,28.08955662
275,27.6075229
276,27.14658734
277,26.70628247
278,26.28613826
279,25.88568476
280,25.50445425
281,25.14198325
282,24.79781413
283,24.47149651
284,24.16258842
285,23.87065722
286,23.59528041
287,23.33604613
288,23.0925537
289,22.8644138
290,22.65124873
291,22.45269241
292,22.26839035
293,22.09799953
294,21.94118819
295,21.79763554
296,21.66703142
297,21.54907589
298,21.44347879
299,21.34995926
300,21.26824517
301,21.19807259
302,21.13918516
303,21.09133349
304,21.0542745
305,21.02777075
306,21.01158978
307,21.00550337
308,21.00928688
309,21.0227185
310,21.04557855
311,21.07764876
312,21.11871154
313,21.16854927
314,21.22694359
315,21.29367472
316,21.36852077
317,21.45125704
318,21.54165543
319,21.6394838
320,21.74450537
321,21.85647817
322,21.97515451
323,22.10028051
324,22.23159567
325,22.36883245
326,22.51171595
327,22.65996364
328,22.8132851
329,22.97138192
330,23.13394752
331,23.3006672
332,23.47121815
333,23.64526956
334,23.82248284
335,24.00251184
336,24.18500326
337,24.36959702
338,24.55592677
339,24.74362046
340,24.93230101
341,25.12158699
342,25.31109342
343,25.50043264
344,25.68921518
345,25.87705074
346,26.0635492
347,26.24832168
348,26.43098164
349,26.61114595
350,26.78843609
351,26.96247929
352,27.13290968
353,27.29936943
354,27.46150994
355,27.61899294
356,27.77149162
357,27.91869166
358,28.06029226
359,28.19600715
360,28.32556546
361,28.44871258
362,28.56521099
363,28.67484087
364,28.77740082
365,28.87270836
366,28.96060036
367,29.04093345
368,29.11358425
369,29.17844959
370,29.23544656
371,29.28451251
372,29.32560497
373,29.35870145
374,29.38379917
375,29.40091471
376,29.41008354
377,29.41135959
378,29.40481457
379,29.39053742
380,29.36863355
381,29.3392241
382,29.30244516
383,29.25844689
384,29.2073927
385,29.14945829
386,29.08483075
387,29.01370764
388,28.93629602
389,28.85281147
390,28.76347722
391,28.66852311
392,28.56818474
393,28.46270248
394,28.35232064
395,28.23728656
396,28.11784979
397,27.99426126
398,27.8667725
399,27.73563492
400,27.60109909
401,27.46341405
402,27.32282673
403,27.17958134
404,27.03391881
405,26.88607633
406,26.73628684
407,26.58477865
408,26.43177502
409,26.27749388
410,26.12214745
411,25.96594204
412,25.80907781
413,25.65174853
414,25.49414148
415,25.33643729
416,25.17880985
417,25.02142623
418,24.86444664
419,24.70802442
420,24.55230602
421,24.39743105
422,24.2435323
423,24.09073583
424,23.93916101
425,23.78892064
426,23.64012105
427,23.4928622
428,23.34723782
429,23.20333556
430,23.06123711
431,22.92101834
432,22.78274949
433,22.64649528
434,22.51231515
435,22.38026331
436,22.25038903
437,22.1227367
438,21.99734607
439,21.87425237
440,21.75348651
441,21.63507522
442,21.5190412
443,21.40540332
444,21.29417674
445,21.18537306
446,21.07900052
447,20.97506406
448,20.87356554
449,20.77450385
450,20.67787504
451,20.58367243
452,20.49188679
453,20.40250641
454,20.31551724
455,20.23090302
456,20.14864534
457,20.06872381
458,19.99111611
459,19.91579811
460,19.84274396
461,19.7719262
462,19.70331581
463,19.63688233
464,19.57259391
465,19.51041742
466,19.45031851
467,19.39226167
468,19.33621033
469,19.28212688
470,19.2299728
471,19.17970867
472,19.13129425
473,19.08468854
474,19.03984983
475,18.99673577
476,18.95530341
477,18.91550927
478,18.87730937
479,18.84065927
480,18.80551419
481,18.77182895
482,18.73955812
483,18.70865599
484,18.67907667
485,18.6507741
486,18.62370211
487,18.59781444
488,18.57306485
489,18.54940706
490,18.52679488
491,18.50518221
492,18.48452311
493,18.46477178
494,18.44588267
495,18.42781048
496,18.41051023
497,18.39393724
498,18.37804724
499,18.36279637
500,18.3481412
501,18.33403881
502,18.32044679
503,18.3073233
504,18.29462709
505,18.28231754
506,18.27035468
507,18.25869923
508,18.24731266
509,18.23615716
510,18.22519573
511,18.21439217
512,18.2037111
513,18.19311804
514,18.18257937
515,18.17206239
516,18.16153533
517,18.15096739
518,18.14032872
519,18.12959048
520,18.11872482
521,18.10770493
522,18.09650503
523,18.08510037
524,18.07346729
525,18.06158317
526,18.04942648
527,18.03697674
528,18.02421459
529,18.01112173
530,17.99768093
531,17.98387609
532,17.96969215
533,17.95511513
534,17.94013214
535,17.92473133
536,17.90890192
537,17.89263416
538,17.87591934
539,17.85874976
540,17.84111873
541,17.82302055
542,17.80445048
543,17.78540473
544,17.76588045
545,17.7458757
546,17.72538943
547,17.70442145
548,17.68297242
549,17.66104383
550,17.63863794
551,17.61575779
552,17.59240716
553,17.56859056
554,17.54431317
555,17.51958083
556,17.49440002
557,17.46877782
558,17.44272187
559,17.41624039
560,17.38934207
561,17.36203612
562,17.3343322
563,17.30624039
564,17.27777118
565,17.24893541
566,17.2197443
567,17.19020935
568,17.16034236
569,17.13015539
570,17.09966071
571,17.06887083
572,17.03779841
573,17.00645627
574,16.97485737
575,16.94301475
576,16.91094154
577,16.87865094
578,16.84615616
579,16.81347043
580,16.78060697
581,16.74757897
582,16.71439957
583,16.68108184
584,16.64763875
585,16.61408319
586,16.5804279
587,16.5466855
588,16.51286846
589,16.47898905
590,16.44505939
591,16.4110914
592,16.37709679
593,16.34308703
594,16.3090734
595,16.27506692
596,16.24107834
597,16.2071182
598,16.17319673
599,16.13932391
600,16.10550944
601,16.07176274
602,16.03809291
603,16.0045088
604,15.97101892
605,15.93763151
606,15.90435448
607,15.87119545
608,15.83816173
609,15.80526029
610,15.77249784
611,15.73988073
612,15.70741503
613,15.67510649
614,15.64296054
615,15.61098232
616,15.57917665
